item_code,total,blocked,auto_open,gates,title,description,images,category,pricing,variant,inventory,shipping_guide,discount,spec_length
2N512P241248A,64,True,False,BLOCKED:hollow_spec,14,2,14,12,12,0,0,6,2,2
2N512P241250B,72,True,False,BLOCKED:hollow_spec,14,2,14,12,12,8,0,6,2,2
2N512P419549A,66,True,False,BLOCKED:hollow_spec,8,2,14,12,12,8,0,6,2,2
2ST295684DDA,57,True,False,BLOCKED:hollow_spec,2,2,11,12,12,8,0,6,2,2
3512P291703J,67,True,False,BLOCKED:hollow_spec,2,2,13,12,12,8,8,6,2,2
3512P317060D,63,True,False,BLOCKED:hollow_spec,8,2,11,12,12,8,0,6,2,2
3N512P241248A,64,True,False,BLOCKED:hollow_spec,14,2,14,12,12,0,0,6,2,2
3N512P241250B,80,True,False,BLOCKED:hollow_spec,14,2,14,12,12,8,8,6,2,2
3N512P347227W,62,True,False,BLOCKED:hollow_spec,2,2,8,12,12,8,8,6,2,2
3N512P455095A,62,True,False,BLOCKED:hollow_spec,2,2,8,12,12,8,8,6,2,2
3N512P455096A,59,True,False,BLOCKED:hollow_spec,2,2,13,12,12,8,0,6,2,2
4I291166ISA,77,False,False,,14,2,11,12,12,8,8,6,2,2
4I291166JSA,77,True,False,BLOCKED:hollow_spec,14,2,11,12,12,8,8,6,2,2
BA412743C207236C,62,False,False,,4,2,14,12,12,8,0,6,2,2
BA412743O207236N,62,False,False,,4,2,14,12,12,8,0,6,2,2
BA412743P207236N,70,False,False,,4,2,14,12,12,8,8,6,2,2
BA412744C207236C,62,False,False,,4,2,14,12,12,8,0,6,2,2
BA412744O207236N,62,False,False,,4,2,14,12,12,8,0,6,2,2
BA412744P207236N,70,False,False,,4,2,14,12,12,8,8,6,2,2
BA412745C207236C,70,False,False,,4,2,14,12,12,8,8,6,2,2
BA412745O207236N,70,False,False,,4,2,14,12,12,8,8,6,2,2
BA412745P207236N,70,False,False,,4,2,14,12,12,8,8,6,2,2
BA419599C207236C,70,False,False,,4,2,14,12,12,8,8,6,2,2
BA419600C207236C,62,False,False,,4,2,14,12,12,8,0,6,2,2
BA419617P207236N,69,False,False,,4,2,13,12,12,8,8,6,2,2
BA419617Z207236N,69,False,False,,4,2,13,12,12,8,8,6,2,2
BA419618O207236N,69,False,False,,4,2,13,12,12,8,8,6,2,2
BA419618P207236N,69,False,False,,4,2,13,12,12,8,8,6,2,2
BA419618Z207236N,61,False,False,,4,2,13,12,12,8,0,6,2,2
BA419619O207236N,69,False,False,,4,2,13,12,12,8,8,6,2,2
BA419619P207236N,69,False,False,,4,2,13,12,12,8,8,6,2,2
BA419619Z207236N,69,False,False,,4,2,13,12,12,8,8,6,2,2
BA428377A207236N,69,False,False,,4,2,13,12,12,8,8,6,2,2
BA430890A207236N,61,False,False,,4,2,13,12,12,8,0,6,2,2
BA430892A207236N,61,False,False,,4,2,13,12,12,8,0,6,2,2
MAT422836C469767O,72,False,False,,4,2,14,12,12,8,8,6,4,2
MAT472254C469767O,56,False,False,,4,2,14,12,12,0,0,6,4,2
MAT472254C469767Z,72,False,False,,4,2,14,12,12,8,8,6,4,2
N504P415034A,73,False,False,,4,2,11,12,12,8,8,6,6,4
N504P497302A,85,False,True,,14,2,13,12,12,8,8,6,6,4
N504P501336W,85,False,True,,14,2,13,12,12,8,8,6,6,4
N504P501376W,85,False,True,,14,2,13,12,12,8,8,6,6,4
N504P501387W,85,False,True,,14,2,13,12,12,8,8,6,6,4
N504P501392W,86,False,True,,14,2,14,12,12,8,8,6,6,4
N504P501509W,78,False,False,,14,2,14,12,12,8,0,6,6,4
N504P501514W,85,False,True,,14,2,13,12,12,8,8,6,6,4
N506P270419E,67,False,False,,8,2,13,12,12,0,8,6,2,4
N506P374567C,73,False,False,,10,2,13,12,12,0,8,6,6,4
N506P483128D,82,False,True,,14,2,14,12,12,8,8,6,2,4
N506P496549A,83,False,True,,14,2,13,12,12,8,8,6,6,2
N506P496549B,75,False,False,,14,2,13,12,12,8,0,6,6,2
N506P498991A,76,False,False,,14,2,14,12,12,8,0,6,6,2
N506P498991B,76,False,False,,14,2,14,12,12,8,0,6,6,2
N506P500580B,83,False,True,,14,2,13,12,12,8,8,6,4,4
N506P500580D,75,False,False,,14,2,13,12,12,8,0,6,4,4
N506P503228D,81,False,True,,14,2,13,12,12,8,8,6,2,4
N508P304770W,73,False,False,,14,2,13,12,12,8,0,6,2,4
N508P489378A,66,False,False,,4,2,14,12,12,8,0,6,4,4
N508P490778A,76,False,False,,4,2,14,12,12,8,8,6,6,4
N508P499937A,63,False,False,,4,2,13,12,12,8,0,6,2,4
N508P503873D,72,False,False,,8,2,14,12,12,8,0,6,6,4
N508P503873E,78,False,False,,14,2,14,12,12,8,0,6,6,4
N508P503873G,80,False,True,,8,2,14,12,12,8,8,6,6,4
N508P503876B,86,False,True,,14,2,14,12,12,8,8,6,6,4
N508P503876D,78,False,False,,14,2,14,12,12,8,0,6,6,4
N508P503876E,78,False,False,,14,2,14,12,12,8,0,6,6,4
N508P508927A,68,False,False,,4,2,14,12,12,8,0,6,6,4
N508P508928A,66,False,False,,4,2,14,12,12,8,0,6,4,4
N508SET496488B,72,True,False,BLOCKED:hollow_spec,14,2,14,12,12,8,0,6,2,2
N508SET496488W,80,True,False,BLOCKED:hollow_spec,14,2,14,12,12,8,8,6,2,2
N509P305803A,62,False,False,,8,2,14,12,12,0,0,6,4,4
N509P308201B,67,False,False,,2,2,11,12,12,8,8,6,2,4
N509P353981A,70,False,False,,2,2,14,12,12,8,8,6,2,4
N509P493727B,55,False,False,,4,2,13,12,12,0,0,6,2,4
N509P494611B,74,False,False,,4,2,14,12,12,8,8,6,4,4
N509P507663A,80,False,True,,8,2,14,12,12,8,8,6,6,4
N509P507664A,62,False,False,,2,2,14,12,12,8,0,6,2,4
N509P507665A,78,False,False,,8,2,14,12,12,8,8,6,4,4
N509P507666A,70,False,False,,8,2,14,12,12,8,0,6,4,4
N509P507668A,70,False,False,,8,2,14,12,12,8,0,6,4,4
N510P447593A,74,False,False,,4,2,14,12,12,8,8,6,4,4
N510P465593C,70,False,False,,4,2,14,12,12,8,8,6,2,2
N510P479803D,64,False,False,,4,2,14,12,12,8,0,6,2,4
N510P479805A,61,False,False,,4,2,13,12,12,8,0,6,2,2
N510P479805D,64,False,False,,4,2,14,12,12,8,0,6,2,4
N510P479805L,61,False,False,,4,2,13,12,12,8,0,6,2,2
N510P479805O,61,False,False,,4,2,13,12,12,8,0,6,2,2
N510P479805Z,69,False,False,,4,2,13,12,12,8,8,6,2,2
N510P479806N,63,False,False,,4,2,13,12,12,8,0,6,4,2
N510P479806P,71,False,False,,4,2,13,12,12,8,8,6,4,2
N510P479806Q,63,False,False,,4,2,13,12,12,0,8,6,4,2
N510P479807B,63,False,False,,4,2,13,12,12,8,0,6,4,2
N510P479807D,63,False,False,,4,2,13,12,12,8,0,6,4,2
N510P479807N,71,False,False,,4,2,13,12,12,8,8,6,4,2
N510P479807P,71,False,False,,4,2,13,12,12,8,8,6,4,2
N510P479807Q,65,False,False,,4,2,13,12,12,0,8,6,4,4
N510P479808B,63,False,False,,4,2,13,12,12,8,0,6,4,2
N510P479808D,71,False,False,,4,2,13,12,12,8,8,6,4,2
N510P479808N,71,False,False,,4,2,13,12,12,8,8,6,4,2
N510P479808P,71,False,False,,4,2,13,12,12,8,8,6,4,2
N510P479808Q,65,False,False,,4,2,13,12,12,0,8,6,4,4
N510P507073N,70,False,False,,4,2,14,12,12,8,8,6,2,2
N510P507074N,70,False,False,,4,2,14,12,12,8,8,6,2,2
N510P508257B,72,False,False,,4,2,14,12,12,8,8,6,4,2
N510P508257C,64,False,False,,4,2,14,12,12,8,0,6,4,2
N510P508257L,72,False,False,,4,2,14,12,12,8,8,6,4,2
N510P508257P,72,False,False,,4,2,14,12,12,8,8,6,4,2
N510P508257Z,72,False,False,,4,2,14,12,12,8,8,6,4,2
N510P508260B,64,False,False,,4,2,14,12,12,8,0,6,4,2
N510P508260C,72,False,False,,4,2,14,12,12,8,8,6,4,2
N510P508260L,72,False,False,,4,2,14,12,12,8,8,6,4,2
N510P508260P,72,False,False,,4,2,14,12,12,8,8,6,4,2
N510P508260Z,72,False,False,,4,2,14,12,12,8,8,6,4,2
N510P508263B,64,False,False,,4,2,14,12,12,8,0,6,4,2
N510P508263C,64,False,False,,4,2,14,12,12,8,0,6,4,2
N510P508263L,64,False,False,,4,2,14,12,12,8,0,6,4,2
N510P508263P,64,False,False,,4,2,14,12,12,8,0,6,4,2
N510P508263Z,72,False,False,,4,2,14,12,12,8,8,6,4,2
N510P512584A,72,False,False,,4,2,14,12,12,8,8,6,2,4
N510P512584B,72,False,False,,4,2,14,12,12,8,8,6,2,4
N511P475677N,76,False,False,,14,2,14,12,12,8,0,6,4,4
N511P475712W,76,False,False,,14,2,14,12,12,8,0,6,4,4
N511P475714B,76,False,False,,14,2,14,12,12,8,0,6,4,4
N511P488881N,64,False,False,,4,2,14,12,12,8,0,6,4,2
N512P403859A,70,False,False,,2,2,14,12,12,8,8,6,2,4
N512P464014A,86,False,True,,14,2,14,12,12,8,8,6,6,4
N512P475932N,82,False,True,,14,2,14,12,12,8,8,6,2,4
N512P475932W,74,False,False,,14,2,14,12,12,8,0,6,2,4
N512P484125W,70,False,False,,2,2,14,12,12,8,8,6,2,4
N512P484586W,68,False,False,,8,2,14,12,12,8,0,6,2,4
N512P484587B,76,False,False,,8,2,14,12,12,8,8,6,2,4
N512P485723B,70,False,False,,2,2,14,12,12,8,8,6,2,4
N512P494007G,72,False,False,,2,2,14,12,12,8,8,6,4,4
N512P494008A,64,False,False,,2,2,14,12,12,8,0,6,4,4
N512P494008B,70,False,False,,8,2,14,12,12,0,8,6,4,4
N512P494008F,56,False,False,,2,2,14,12,12,0,0,6,4,4
N512P494008G,56,False,False,,2,2,14,12,12,0,0,6,4,4
